feature,importance
amplitude,0.2725665057481422
sensory_velocity,0.1492192497562822
csf_protein,0.1235053358897831
motor_velocity,0.11816976922295425
conduction_block,0.11016002799825728
f_wave_latency,0.09049590954766172
age,0.049907213704554795
previous_infection,0.02183292649768775
onset_speed,0.0122495137783966
cranial_nerve_involvement,0.010233768524021296
sensory_loss,0.009046740695332144
gender,0.008780239197956405
paralysis,0.008272746066404829
respiratory_involvement,0.00674873188287406
reflex_loss,0.004412074605153418
muscle_weakness,0.004399246884537886
